Entity,Code,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation
LLaVA 1.5,,2023-11-05,45500004,12999999488,Academia and industry collaboration
LMICA,,2004-12-01,2.7820802,4096000,Other
LMS,,1960-06-30,,17,Academia
LMSI-Palm,,2022-10-20,,539999993856,Academia and industry collaboration
LRCN,,2014-11-07,,142552000,Academia
LRSO-GAN,,2017-10-22,,,Academia
LSTM,,1997-11-15,0.021008,10504,Academia
LSTM (2018),,2018-03-04,,13000000,Academia and industry collaboration
"LSTM (Hebbian, Cache, MbPA)",,2018-03-27,24000,45200000,Academia and industry collaboration
LSTM + dynamic eval,,2017-09-21,,50000000,Academia
LSTM LM,,2012-01-01,16.6,102720000,Academia
LSTM with forget gates,,1999-01-02,,276,Academia
LSTM+NeuralCache,,2018-09-24,1.02,2100000,Academia and industry collaboration
LSTM-300units,,2012-09-01,,12000000,Academia
LSTM-Char-Large,,2015-08-26,2.6499999,19000000,Academia
LTE speaker verification system,,1966-11-01,1.0591706e-7,2061,Industry
LTM-1,,2023-06-06,,,Industry
LUKE,,2020-10-02,175799.81,484000000,Academia
LaMDA,,2022-02-10,355000000,137000001536,Industry
LaNet-L (CIFAR-10),,2019-06-17,,44100000,Academia and industry collaboration
Large regularized LSTM,,2014-09-08,91,66000000,Academia and industry collaboration
LeNet-5,,1998-11-01,0.0028109376,60000,Industry
Learnability theory of language development,,1984-07-01,,,Academia
Libratus,,2017-01-01,551000,,Academia
Linear Decision Functions,,1962-06-01,1.5592501e-9,,Industry
"Listen, Attend and Spell",,2015-08-20,,,Academia and industry collaboration
Llama 2-70B,,2023-07-18,810000000,70000001024,Industry
Llama 2-7B,,2023-07-18,84000000,70000001024,Industry
Llama 3-70B,,2024-04-18,6300000000,70000001024,Industry
Llama 3.1-405B,,2024-07-23,38000000000,404999995392,Industry
Llama Guard,,2023-12-07,160000000,7000000000,Industry
Local Binary Patterns for facial recognition,,2006-12-01,,,Academia and industry collaboration
LongT5,,2021-12-15,,3000000000,Industry
M4-50B,,2019-10-11,,49999998976,Industry
M6-T,,2021-03-05,5500000.5,1002700013568,Industry
MADALINE I,,1962-07-01,,,Academia
MCDNN (MNIST),,2012-02-13,3.726979,1994300,Academia
MEB,,2021-09-04,,134999998464,Industry
MLN-ASR,,1988-08-01,2.96425e-7,10000,Academia
MLP baggage detector,,1989-01-01,,,Industry
MM1-30B,,2024-03-14,486000000,30000001024,Industry
MMLSTM,,2019-12-05,2320,75000000,Academia
MS-CNN,,2016-09-17,,,Academia and industry collaboration
MSA Transformer,,2021-02-13,5490000,100000000,Academia and industry collaboration
"MSRA (C, PReLU)",,2015-02-06,23974.031,87048800,Industry
MT-DNN,,2019-01-31,,330000000,Industry
MUSIC perceptron,,1996-06-03,0.0008817336,13607,Other
MV-RNN,,2012-07-12,,3510255,Academia
Make-A-Video,,2022-09-29,,,Industry
Mamba-24M (SC09),,2023-12-01,,23400000,Academia
Mask R-CNN,,2017-03-30,,,Industry
Masked Autoencoders,,2021-11-11,460000,632000000,Industry
MatrixFac for Recommenders,,2009-08-07,,,Industry
Max-Margin Markov Networks,,2004-03-01,,,Academia
