Entity,Code,Day,Number of parameters
Word2Vec (small),,2013-10-16,207600000
XGLM-7.5B,,2021-12-20,7500000000
XLM,,2019-06-01,665000000
XLM-RoBERTa,,2019-11-05,550000000
XLMR-XXL,,2021-08-17,10700000000
XLNet,,2019-06-01,340000000
Xception,,2016-10-07,22855952
YOLO,,2015-06-08,271684800
YOLOX-X,,2021-08-06,99100000
YOLOv2,,2016-12-25,51000000
YOLOv3,,2018-04-08,56933216
Yi-34B,,2023-11-02,34000000000
Yuan 1.0,,2021-10-12,245730000000
Zidong Taichu,,2021-08-11,3200000000
Zip CNN,,1989-12-01,9760
Zoneout + Variational LSTM (WT2),,2016-09-26,21000000
aLSTM(depth-2)+RecurrentPolicy (WT2),,2018-05-22,32000000
base LM+GNN+kNN,,2021-10-17,274000000
data2vec (language),,2022-01-20,705134600
data2vec (speech),,2022-01-20,705134600
data2vec (vision),,2022-01-20,705134600
eDiff-I,,2022-11-02,9100000000
genCNN + dyn eval,,2015-03-17,8000000
iGPT-L,,2020-06-17,1362000000
iGPT-XL,,2020-06-17,6801000000
mPLUG-Owl2,,2023-11-07,7120000000
mT0-13B,,2022-11-03,13000000000
mT5-XXL,,2020-10-20,13000000000
wave2vec 2.0 LARGE,,2020-10-22,317000000
xTrimoPGLM -100B,,2023-07-06,100000000000
